T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
14438, 7, -803, 640, -3150, -2800, -840
14458, 27, -821, 614, -5530, -4760, -1890
14478, 14, -825, 520, -11970, -3990, -630
14498, 50, -796, 569, -6650, -16590, -1330
14518, 37, -817, 627, 7490, -23450, -3220
14538, 64, -773, 612, 490, -8540, -1190
14558, 43, -797, 614, -980, -4620, -420
14578, 59, -777, 696, 3850, -6860, 1190
14598, 58, -789, 672, 10710, -6300, 2100
14618, 64, -777, 610, 9730, -5250, 3220
14638, 5, -812, 601, -560, -4270, 5670
14658, 3, -818, 647, -3710, -2870, 5880
14678, 49, -796, 612, -1330, -490, 1050
14698, 56, -788, 600, 2520, -3430, -3290
14718, 51, -800, 602, 2660, -6650, -2380
14738, 21, -833, 628, 350, -7070, 4130
14758, 63, -813, 624, 7980, -14630, 1050
14778, 91, -783, 643, 9030, -13790, -1050
14798, 82, -839, 702, 5250, -12040, 1470
14818, 35, -836, 615, 6720, -18970, 4690
14838, 123, 56, 1201, -56140, 75670, -30240
14858, 43, -748, 1045, -21140, 161140, -68810
14878, -138, -1677, 507, -15960, -18830, 29260
14898, 67, -802, 688, 83580, -123620, 20930
14918, 43, -876, 746, 22680, -19810, -420
14938, 64, -802, 620, -5040, 18760, 2870
14958, 93, -780, 595, -3010, 10360, -3710
14978, 68, -798, 606, -560, 910, 1540
14998, 50, -819, 654, -140, -3150, 3360
15018, 59, -815, 611, 3010, -7350, 3850
15038, 69, -805, 629, 5950, -9240, 3220
15058, 58, -786, 658, 7840, -7210, 1260
15078, 47, -782, 659, 10150, -7770, -420
15098, 30, -805, 651, 7350, -5950, 70
15118, 59, -770, 652, 6230, -5390, -980
15138, 58, -792, 619, 6160, -6230, -2240
15158, 41, -810, 612, 3780, -4970, 630
15178, 47, -794, 709, 5810, -5950, 560
15198, 51, -786, 705, 7910, -7420, -630
15218, 20, -839, 628, 10640, -15470, 2660
15238, 53, -814, 605, 10570, -22050, 4690
15258, 85, -779, 695, 8120, -17570, 0
15278, 54, -757, 705, 8680, -9380, -3220
15298, 25, -753, 832, 10010, -9660, -2870
15318, 87, -772, 846, 10360, -19320, -630
15338, 1469, -1520, -1997, 21070, -57540, 11550
